Designator,Mid X,Mid Y,Rotation,Layer
C10,163.41,-79.27,90.0,bottom
C11,173.19,-91.8725,90.0,top
C12,177.0425,-95.82,0.0,top
C13,169.2025,-99.78,0.0,bottom
C14,169.2025,-91.36,0.0,bottom
C15,167.2075,-95.32,0.0,bottom
C16,170.0525,-89.96,0.0,bottom
C17,170.0525,-93.39,180.0,top
C18,177.6775,-91.36,180.0,bottom
C19,177.65,-99.8075,270.0,bottom
C2,169.87,-97.32,180.0,top
C20,179.678717,-92.728717,135.0,top
C21,164.99,-98.4,270.0,top
C22,164.8,-91.32,90.0,bottom
C23,160.2,-89.257499,90.0,bottom
C24,187.89,-85.697499,90.0,top
C25,154.43,-121.467499,90.0,bottom
C26,151.43,-121.927499,90.0,bottom
C27,231.29,-89.98,0.0,top
C28,231.4675,-87.99,0.0,top
C29,158.68,-117.87,0.0,top
C3,159.98,-85.3,180.0,bottom
C30,185.94,-104.5275,270.0,top
C31,200.9925,-109.21,180.0,top
C32,195.9325,-85.94,180.0,top
C33,187.22,-104.5275,270.0,top
C34,200.9925,-108.04,180.0,top
C35,230.7225,-92.14,180.0,bottom
C36,198.3475,-126.832501,270.0,top
C37,208.0,-128.5,180.0,top
C38,203.692501,-128.18,0.0,top
C39,194.88,-117.69,0.0,top
C4,163.41,-79.27,90.0,top
C40,216.749999,-88.077499,90.0,top
C41,227.009999,-85.777499,90.0,top
C42,167.168717,-93.518717,45.0,bottom
C43,166.938717,-91.898717,45.0,bottom
C44,208.42,-78.692754,90.0,top
C45,200.77,-88.3725,90.0,top
C46,201.93,-88.3725,90.0,top
C47,190.755,-87.67,180.0,top
C48,190.7525,-88.81,180.0,top
C49,198.13,-92.45,180.0,bottom
C5,172.19,-91.8725,90.0,top
C50,187.0,-92.0925,90.0,top
C51,188.081283,-106.268717,225.0,top
C52,203.77,-107.32,270.0,top
C53,205.2825,-91.37,0.0,top
C54,204.98,-108.02,270.0,top
C55,193.2075,-87.67,0.0,top
C56,193.2075,-88.81,0.0,top
C57,199.75,-88.6325,270.0,top
C58,197.87,-88.6325,270.0,top
C59,166.7125,-118.04,180.0,top
C6,195.19,-89.65,0.0,bottom
C60,172.1225,-118.58,0.0,top
